TBId,Phyllotaxie,Division,Forme_limbe,Base,Apex,Nervation,Taille,Marge,Pétiole ,Pilosité,Contraste,Aspect,Toucher
52060,alterne,simple,ovale,cordée ou arrondie,aigu,pennée,moyen ou grand,dentée ou entière,long,glabre ou glabre_pubescent,contrasté,luisant_mat,papyracé ou coriace
51988,alterne,simple,triangulaire ou deltoide,tronquée ou en_coin,aigu,pennée,moyen,dentée ou ondulée,long,glabre,contrasté,mat ou luisant_mat,papyracé ou coriace
53413,alterne,simple,ovale ou elliptique,en_coin ou cordée,aigu,pennée,moyen,dentée,moyen ou long,glabre,identique,mat ou luisant_mat,papyracé
53417,alterne,simple,ovale ou elliptique,arrondie ou asymétrique,aigu,pennée,moyen ou grand,dentée,long,glabre,contrasté,mat,papyracé
53436,alterne,simple,ovale ou elliptique,en_coin ou arrondie,aigu,pennée,moyen,dentée,moyen ou court,glabre,contrasté,mat,papyracé
53439,alterne,simple,elliptique ou ovale ou obovale,en_coin ou arrondie,aigu,pennée,moyen,dentée,moyen ou court,glabre,contrasté ou identique,mat ou luisant_mat,papyracé
53446,alterne,simple,elliptique ou ovale,en_coin ou arrondie ou asymétrique,aigu,pennée,moyen ou grand,dentée,moyen ou long,glabre,contrasté ou identique,mat,papyracé
53498,alterne,simple,elliptique ou ovale ou obovale,en_coin ou arrondie,aigu,pennée,moyen,dentée,moyen ou court,glabre,contrasté ou identique,mat,papyracé
53514,alterne,simple,elliptique ou oblong ou ovale,arrondie ou en_coin,aigu,pennée,moyen ou grand,dentée,moyen,glabre,contrasté,luisant_mat,papyracé
53544,alterne,simple,elliptique ou oblong ou obovale,en_coin ou arrondie,aigu,pennée,moyen ou grand,dentée,court,glabre,contrasté,luisant_mat,coriace
53552,alterne,simple,circulaire ou ovale ou elliptique,arrondie ou tronquée,aigu,pennée,moyen,dentée,moyen,glabre,contrasté,mat ou luisant_mat,papyracé ou coriace
